sentiment,txt
negative, المعنى الحقيقي لعاااهاتك يا وطن
negative,ربي يكون بالعون ياأخي فقد احزنني كلامك
negative,الى من اشكوك !
positive,﻿ان من صفات الاسلام الامانة
positive,أفعال لا تضاهيها أقوال
negative, و شباب صايع مو ملاقي ياكل 
negative, اهما ودهم يروحون النار لكن النار مارضت فيهم
positive,صح علشان كدة منكذبش ونرتاح
positive,يارب يقوينا جميعا على طاعته وحسن عبادته 
positive,﻿انا بحبك في لله
positive,تحفة
positive,اللهم اهدنا ثم ثبتنا 
positive,الله يسعد كل البشر امين يا رب
negative,بعدك ماشفت اشي
positive,الدين أخلاق
positive,حفظ الله ابناء وبنات الأمة جميع
negative,فانا اناشد الحكومة الاردنية بألافراج عن اسرى السلفيين التوحيدين الموجودين في سجونهم
negative, الله يفضح امكم فضحتونا شو هالسخافه 
negative,كتيييير رخيص ومقرف
negative, كارثة بشرية 
positive,﻿فتحه و نصرة و نوره و بركته و هداه
positive,عم الرجال
positive,اترك ما تهوى لاجل من تخشى 
positive,﻿صبحكم الله يأهل الطيب بالخير ... و يسعد ضحاكم و الظهر و العشية
negative, اخر واحد حسسني اني لازم اطرش او اروح الحمام
positive,﻿هذا سلامي يسبق البرق و الطير ... فيه الحروف معطرة بالتحية 
negative, لجنة زبالة من ....... اذا بفهمو بالفن خاصة ابو النظارات اللي مش موجود بالفيديو
negative, والله ظلموه لجنة الطراطير
positive,الحب مش ذل
negative, بدك الصراحة و بدون زعل جهنم و الزبانية من الملائكة تنتظرك تموت لتشرب من فروج المومسات و صديد اهل النار ان شاء الله يا اوباش سوريا
positive,المومين الى بعضهم كالبناء الزى يشد بعضة البعض
negative,عيب عليك ماتستحي
positive,﻿يا رب يا خير الرازقين ارزق أهل سوريا و جميع المسلمين النصر و الثبات و التقوى
positive, والله صحيح
negative,تعليم الاطفال علا الاغاني وعلا الرقص بدلن من تعليم﻿ القران الكريم بدلن من تعليم الدين الله لا يوفقكم
positive,صح الصح كمان
positive,الله يتئبل صلاتنا
positive,الحمد لله الذي رزقني بالإسلام
positive,الله ايه الجمال ده سبحانك ربي
negative,اخرسي صحيح ما تفهمي
positive,﻿ساعات اللى فى السر هو اللى بيخلى الناس تحبك فى العلن من غير ما يكونوا عارفين الا انهم بيحبوك من غير سبب
positive,﻿دائماً تبعث النشاط  و الحيوية في النفوس مع  كل  صباح اسعد  الله  صباحك
positive,الله تعالى معان
negative,حفظ الله وطننا من ايدي المنافقين المتأردنين
positive,كلام حلو ومشجع 
positive,﻿صباح ملؤه الخيرات و المسرات
positive,﻿سبحان الله.. اللهم أرزقنا الطمأنينة و اليقين
positive,﻿لاتحزن : فإن الحسنة بعشرة أمثالها إلى سبعمائة ضعف إلى أضعاف كثيرة ، و السيئة بمثلها إلا أن يعفو ربك و يتجاوز ، فكم لله من كرم ما سمع مثله ! و من جود لا يقاربه جود
positive,ربنا يقوينا ويقدرنا
negative,﻿  لااااااا وربي صوتها غلييييييظ جدا 
positive,﻿انا بحب كل الناس و بتمنالهم الخير
positive,الله يا ريت كنا في ذاك الزمن
negative, يا ربـــــي هذا مستحيل يكون كائن بشري 
positive,يارب طهر قلوبنا
positive,﻿كلام جميل الكرامة أفضل و ابقى للإنسان
positive,صباح القشطة
negative, الله يلعن الي علمكم التطور يا متخلفين يا رجعيين
positive,كلماتك عذبة
negative,يع شوهاي الوساخة
positive,﻿و بحب الناس الرايقه الي بتضحك على طول
negative, هم اللي مصخرو انفسهم
negative, كدا عيييييييييييييييييييييب أودني راحت فيها
negative, دلع
positive,الله يثبتك و ينور طريقنا
negative, عدولة السامج هذا خرب اوم المقطع قسسم زبالة هالآدمي ودمه زززفت انا ضحكت 
positive,ربنا يقدرنى ويعفو عنى
negative, حالات مرضية نفسية مستعصية لا يستطيع شفائها لا العلم و لا الفن 
positive,﻿طموح الانسان يدفه لتحقيق اهدافه يا رت شببنا ما يقولن فات الوقت و الله يوفق من يشاء
negative,يا حقير 
positive, جميل جدا
positive,أنا فعلا قررت وأخدت القرار ده وحاسة براحة وسعادة كبيرة أوي بقربي من ربنا بجد الحمد لله
negative,﻿ هذول مساجين ولا ايش 
positive,الحمدلله وربنا يجعلنا من المداومين عليها والخاشعين
positive,اخذت القرار لكن برجع تانى وخايفه اموت وانا بغضب ربنا سبحانه وتعالى مع انى انا حسه انى قلبى مليان وعامر بنور الله اعمل ايه اجوك انصحنى
negative,من هي اصغيره اغاني والله انقلبت ادنيه﻿
negative,انت واحد حقير
negative, تغني وهي متقرفة
positive,طيب انا عايزه اشوف القصر
negative,﻿البنزين يجي من السعوديه بأقل الاسعار و الحكومه عندنا تدبل سعره
positive,﻿اللهم اجعلنا ممن تنظر اليهم بحب و اشتياق و اجعلنا من عبادك التوابين المخلصين العابدين الحق لدينك و احفظنا و قنا نار وقودها الناس و الحجاره يا رب
positive,﻿حقا
positive,اللهم امليء قلبي بحبك 
negative,﻿ والله اول واحد سمعته منهم احسب سمااعتي خرباً  يابطني من الضحك والله زااااحفين
negative,غبي الله يزيد غباك 
negative,﻿للي مفكرين المفاعل راح يطورهم - المفاعل راح يدمر الأردن و المنطقة اللي حولها لأن الفساد الموجود بالأردن مش موجود بدوله أخرى و هذا يعني أن الفاسدين رايحين يسمسروا و يلهفوا لما يوصلوا اشكل مفاعل للأردن و ناسين أن المفاعل يحتاج إلى بحر ماء للتبريد و نحن لانملك ماء للشرب و ناسين أن التطور يكون بمشاركة الجميع و ليس بقرار فردي و ناسين أن الذي أقر المفاعل هو المحتكر الأول هيئة الطاقة و أن شاغرها بقي معلق أثناء فترة تسلم طوقان وزارة التربية والتعليم ؟؟؟لدول المتقدمة بدأت تبحث عن بدائل للمفاعلات و احنا بنشتري الخربان منهم مشان التقدم و بلدنا بفضل الله لديها طاقة الرياح و طاقة الشمس لماذا لا يتم إستغلالها بدل المفاعل النووي طالما أكلنا معظمه فاسد و غير صالح بسبب الجشع و الطمع و الفساد.
negative,الحق عالحقير اللي نزل المنشور_بجوز اهله لابسين منه_ولك لاتنزل اشي زي هيك يا؟؟؟!
negative,الفاتحة علي ارواح الغلابة
positive,بصمات راقية لأديب الدعوة محمد الغزالي 
positive,توكلت عليك يا الله
positive,شَارِكُونآ الخَيرْ 
negative, المشاركين بينو للناس انه اللى قايمين على البرنامج حمير
positive,﻿اعمل ليومك و غدك و كن متفائلا دائما يا صاحبي
positive,واجعلنا من سكانها
positive,دعوة المؤمن لأخيه بظهر الغيب أسرع من البرق
positive,﻿صدقت و الله يا شيخ
negative,شو بدو بهالسّحنه
negative,﻿  لا لا لا شي مو طبيعي
negative,﻿ والله انو نذل 
positive,جميله اوى اوى اوى يارب الكل يحس معنى الكلام ده
positive,جامدة جد
positive,ونعم بالله العلي العظيم
positive,اجمل نابلس
positive,يا مقلب القلوب ثبت قلوبنا على الاسلام
negative,كله على راس المواطن ما يثير السخرية رفع اسعار المستقات النفطية المستخدمة في الصناعة تقول صناعتنا مكسرة الدنيا
negative,﻿ العالم العربي متروس عاهات 
positive,الحب الان بقى تيك اواى قليل اوى لما نلقى انسان مخلص فى حبه مع ان الحب ده اجمل واسما عاطفة فى الوجود
positive,من دون التفاؤل ما في حياة
positive,اللهم أرزقنا فعل الخيرات وترك المنكرات
positive,عنجد الكذب اكبر ورطه
negative,عنجد بخزي
positive,والله هذا الى حصل معانا ومع ناس كثيرة بدل حب الحرام بحب الحلال يبدل الله كيانك
positive,اللهم اذقنا حبا رائعا حلالا طاهر
negative,﻿ و الله انو مكب نفايات نوويه و أنا اشتغلت بالمفاعل و موقعه بعلان بالسلط 
positive,القدوة الحسنة خير من النصيحة
negative,﻿بلد يديرها اغبياء و حراميه
positive,جزاك الله كل خير بسمة أمل رائعة وشيقة جد
positive,﻿لو أغلقت الأبواب في وجهك ، وأظلمت الدنيا، و خنقتك الدموع ، و ضاقت بك الأرض ، استحضر معنى اسم الله الفتاح القادر سبحانه قادر على فتح ما انغلق من أمرك
negative,﻿للأسف البعض يعتقد ان المفاعل النووي سيحل مشاكلنا الاقتصادية و لكن الأردن لا يمتلك موارد مالية و هذا يعني الحاجة لشريك أجنبي "كما اعلنت هيئة الطاقة" يملك غالبية الأسهم كما في تركيا على سبيل المثال وذلك يعني ان هذا الشريك سيمتلك الجزء الأكبر من المفاعل ولن يكون ملك للأردن وبالتالي ستقوم الحكومة ايضاً بدفع تكاليف الكهرباء للمستثمر وبالتالي المفاعل النووي لن يوفر لك الكهرباء بسعر قليل
positive,الله المستعان
negative, ي وجه الفطيره .. قبل تعيب الناس .. أنظر الى حإلك 
positive,لا تحزن ان الله معك
positive,﻿الدين المعاملة و ليس بالمظاهر
negative,يلعنك نذل 
negative,شو الاشي الي بيضحك (ما ازنخك)
negative,رح اجتهد باني اكون حلوة يوم عرسي مش اكون متل القردة "
positive,ربنا يعيننا علي نفسنا
negative,  احذفه لاني بجلس احش فيهم لمين اكفر
negative, مررررعبه
positive,الله يثبت قلبك على ديننا الاسلام
positive,اللهم وفقنا لما تحب و ترضى يا رب
positive,اكيد لا الله لا يحرمنا من هالنعمة العظيمة
negative, وش فيك معصب !! خلاص بعطيك اللأيك الي جاني خخخ 
negative,﻿مش شايف العالم مش ملاقيه الخبز . كل واحد بشتغل على سياره رح يوكل هوا و بارتفاع المحروقات الاكل و الشرب رح يرتفع
negative, اللقطة الكزميدية بالآخر دمها تقييييييييييل 
positive,﻿سبحان الله خالق السماوات و الأرض
negative,وادم علينا يارب نعمة الامن والامان وسائر بلاد المسلمين
positive,اللهم لا تكلنا الى انفسنا طرفة عين
negative, قهروني حرام
negative,  يا ربي شو هالولد و الله مجنون مبيستحييش متاكدين انو مغربي
positive,اللهم إجعلنا منهم
negative,﻿الحكومة قاعدة بتخبص و رايحين يدمروا البلد الله ينتقم منهم
negative, لا حول ولا قوة ألا بالله أذا أخذ ما أوهب أسقط ما أوجب
positive,﻿الحمد لله نامل من الله ان يمن علينا بالهدايه
negative, اصلن صاحب البرنامج ماخذ شباب الامه مصخره
positive,﻿ما شاء الله جميله جدا
negative,اعلن الانسحاب يا حمار
negative, يا دم امك الرخم 
negative,نفسي افهم من وين جاي يا ابن الكلب 
negative,﻿روح اكتب اشي زي العالم و الناس بدل ما انت بتتهبل هيك و بتتمسخر يا مسخرة
negative,ولا بقلو بيضه
positive,نعم
positive,﻿قصة جميلة و مهمة جدا
negative,﻿  غبي
positive,يا رب نستغفرك ونتوب اليك
negative,يلعن روحك
positive,صحيح كل هالشغلة بس قرار وبظن كلنا قادرين نآخدة اذا استعنا وتوكلنا ع الله
negative,الاء اختصري ماشي
positive,اللهم اتم علينا مكارم الاخلاق
negative,للأسف البعض يعتقد ان المفاعل النووي سيحل مشاكلنا الاقتصادية ولكن الأردن لا يمتلك موارد مالية وهذا يعني الحاجة لشريك أجنبي "كما اعلنت هيئة الطاقة" يملك غالبية الأسهم كما في تركيا على سبيل المثال وذلك يعني ان هذا الشريك سيمتلك الجزء الأكبر من المفاعل ولن يكون ملك للأردن وبالتالي ستقوم الحكومة ايضاً بدفع تكاليف الكهرباء للمستثمر وبالتالي المفاعل النووي لن يوفر لك الكهرباء بسعر قليل
negative, ك فشلوه مره صدق انهم دلوخ
negative,﻿ بالله عليك فين الاناقه في الناس اللي بتغني دي 
positive,اللهم ارزقنا زوجا صالحا محبا مثل
negative,﻿الله وكيلك مشحطط اهل دابوق و دير غبار و عبدون و منعم على الفقراء 
positive,﻿و يرزقكم من حيث لا تعلمون
negative, ابي اسمعهم يغنون احسهم امرض من ذولا
negative,﻿انا متشائم و رح اضل متشائم حتى ينزلوا البنزين
negative,لا للناووي
positive,انته جميل جدا ربنا يثبتك واتمني ان كل المسلمين تكون اخلاقياتهم في حياتهم العاديه قدوه ودعوه لكل غير المسلمين
positive,اهلا بيك فى دين الله ربنا يثبتك ويزيدك ايمانا انا فرحانه بيك كتير
negative, والله تحشيش
negative,شغل مشغول قرف يع
positive,يا رب قويني علي نفسي
positive,ربنا يوفق الجميع علي الخشوع
negative,ما شاء الله العطلة مأثر عليكوا كتير صبايا الكل بحكي حبيبتي وحبي وبلمدرسة كل واحد بكشر من جهة
negative, البرنامج فاشل جدا
negative, تم تنفيذ الحكم الي في الرد الاول وتم اعدام اول راس والباقي بالطريق
negative,اهبل ولك 
positive,صار بدها بطارية التقوى شحن
negative, وقّـف قلبو لحسن الشافعي 
positive,يا الله ارحم عبدك الفقير المسكين وجميع المسلمين والمسلمات
positive,ما اجمل الكلام والاروع ان نطبقه
negative,﻿يجب على الحكومة العودة بالتوقيت الى الساعة الثالثة
positive,الله يرزقها كل مشتهي يا رب
negative, الظاهر عقلك تافه من اصحاب العقول المقفلة 
positive,اللهم قني شر نفسي
positive,نرجو من الله أن يتقبل صلاتنا رغم ما تمر به بلدنا من أزمة صار الواحد خايف على نفسه و مستعجل بصلاته و أنا كلما صليت اعتبرها صلاة مودع فيخشع قلبي و تدمع عيناي
negative,﻿شو عاجبك فيها متلا ؟!لتكون سيارتكم 
positive, وهذه من اكبر المشاكل التي تؤرق الشباب في هذه الايام
negative,﻿ ابلعن وإلديتس ي الهبــلاا 
negative, والله لو يجمعونهم على شاطئ البحر الميت ويخلونهم يصرخون على اليهود ولمدة 3negative ثانية . . ليهربون لقبرص عن طريق البحر . . سباحة
negative, شكلها ملجلجه 
positive,اللهم اكفنا بحلالك عن حرامك
positive,ما احسنهم الله يكون معهم
negative,﻿ مررة دلوع
negative,قلة ادب 
positive,ارجوك يا استاذنا الفاضل ادعيلي بالنجاح في مسابقة المجستير العام القادم والشفاء بارك الله فيك
positive,اللهم رزقنا مكارم الاخلاق
positive,يسعد اوقاتك 
negative,ليش ما نتعلم من الي صار في اليابان، وروسيا، ألمانيا ألغت نظرتها في بناء مفاعلات نووية واستخدام الطاقة البديلة.
positive,ربى يزيدن ايمان وتقه يارررب
negative,﻿هاي نتيجة انه ينحط انسان .... في موقع مسؤوليه
negative, سعودي متهور 
positive,﻿يا رب يكرمنا بأولادنا و أنا دائما بشجع إبني أن يكون كالجبل الذي لا تهزه الرياح العاتية
positive,احلى اشي الواحد يوكل بدون ما يطبخ
negative,لقد اتحفتمونا بلجوكم لجيبتنا التي انفجرت بفضلكم و الفاسدين يتنعمون باموالنا فهل اصبح فاسدا لأعيش
negative, حكي فاضي
negative,يع يع يع قرف
positive,فعلا ان الطموح هو سر النجاح
negative,﻿بعدين الاردن تسبح على بحر من النفط و الصخر الزيتي اشتغلو فيه بالاول بيكفينا positivenegativenegative سنه
positive,ان شاء الله هنكمل مشوار النجاح
positive,الموت مع الناس رحمه..
negative, انا عرف شيء والله ببكي اكتر ما بضحك
positive,يا سلام على الوفاء
negative, هذا اللي انت فالح فيه بس..كيف تختار ضحاياك بالسرق جعل العاهه تصيبك ولاعاد تطيب منها ياولد الحرام
negative,بلا قرف
positive,﻿البيت اللي فيه فرح و سعادة دايما بكون متفائل و سعيد بحاضره و مستقبله
positive,ايارب يتقبل منا
negative, اهل العقول براحة ام نسيانك يابو نسيان صعب والله صعب
positive,بطلت كتير وكل ما ابطل والتزم مع ربنا برجع تاني وكل اما ارجع ارجع اكتر من الاول
negative,ﺍﺳﺘﻌﻤﺎﺭ ﺷﻮ ﻳﺎﺣﻤﺎﺭ ﺍﺑﻦ ﺍﻟﺤﻤﺎﺭ ﻫﺪﻣﺖ ﻟﺒﻴﻮﺕ ﻭﺷﺮﺩﺕ ﺍﻟﺸﻌﺐ ﻳﺎﺑﻦ ﺍﻟﺰﺍﻧﻴﻪ ﺍﻟﻌﻠﻮﻳﻪ ﻭﺍﻟﺸﻴﻌﻪ ﺳﻮﻑ تسحقون
positive,والله الواحد بيدعي كثيرا ان ربنا يجعلنا في طريق مستقيم
negative, بيه الزناخه
negative,﻿ سماجه سماجه ووالله البنانيين دمهم ثقيل مره
positive,﻿رب فعل صغير يستعظمه غيرك و خاصة ان كنت تمثل الاسلام
positive,الخشوع أمر مهم جــدا في الصلاة
positive,تفاءل بالخير تجده
positive,﻿افتح  قلبك للعالم 
positive,اللهم باركي فيه واهدي كل مسلم لطريق النور
negative, شعوب تافهه همها الحياة الدنيا ...فكروا في نهايتكم
negative,﻿ والله عيب بهدلتو حالكم 
negative,﻿ سخيفة
negative,اقترح تحويلهم الى طبيب نفسي و ليس الى القضاء
positive,﻿ربنا يصلح احوالنا يا رب ظاهرا و باطن
negative,﻿سنبقى نذكر دولة الشهيد وصفي التل الذي كان رئيسا للوزراء و حبيبآ للفقراء
negative, الغلط مو من المشاركين الغلط من نفس البرنامج المفروض تكون فى مرحله فرز فى البدايه قبل لايطلعو الهواء
positive,بدي اروح عمرة الله ييسر
positive,كلام سليم والصراحه راحه
positive,اللهم إنى أقسمت عليك بك أن تهدى شباب المسلمين وتنور قلوبهم كما أنعمت على طارق بنعمة اﻹسﻻم
negative, يتسابقوووووووون إلى جهــنم ..
negative,﻿ارحمونا صرنا نصف السيارة و نطلع بالباص حرام عليكم
positive,تفائلوا بالخير تجدوه
positive,﻿اللهم اغفر لنا انا كنا ظالمين و ادخلنا الجنة سالمين
positive,ربنا يكرمك على سعيك وحُبك للمُساعدة
negative, هبل !!!
negative,امين يا رب
positive,﻿الحمد لله الذي بنعمته تتم الصالحات حمدا غير منقطع 
negative,هذا لا يعني خلوها من الاشكال المصدية 
negative, كل النسخ العربية والجنبيى كله تمثيل في تمثيل مسخره وعقول تاقهة
negative, كاميرا خفية في الانحطاط الاخلاقي 
negative,قرف يعيع
positive,هذا هو الحب الاصيل الوفي بكل معنى الوفاء
negative, لعنكم الله جهنم وبئس المصير ايها العازفووووون 
negative, هذه مشكلة الذي يغني كثيراً في الحمام ويتصور انه اصبح مطرب
negative,مش عارف كيف الناس بتحبك يا زلمة؟
positive,انا معك بان دين الاسلام لكل الناس وفي كل زمان ومكان
negative,حبة بنـــــــــــــــــــــــــــادول
negative,شو عادي يزم انتا ما عندك دم ونخوه يزم انتا مش بني ادم ترى ورح طير
positive,اللهم إني أستغفرك من كل الذنوب والمعاصي وأتوب إليك
negative, عذبت ام العود
negative,﻿كل واحد حرامي  و ما بهمو مصلحة المسكين المواطن الي بشتغل positive4ساعة ب 6دنانير
positive,جميلة المعاني المجردة التي تنزوي عند التطبيق 
negative, اصواتهم مع التوتر خربت
positive,فعلا احس في نفسي دللك
positive,﻿انبسط يا عم و افرح
negative,﻿يجب وضع كل من تسول له نفسة مجرد ان يعمل اي تصرف لا يليق بالاردن ان يسجن و يسجن شىء مخزي شوية همل و زعران يخربوا الجامعات و سمعة البلد 
negative,اذا اليابان اكلت هوا من النووي كيف احنا
positive,﻿اصبحنا و اصبح الملك لله . اللهم لك الحمد .. احييتنا بعد ما متنا و اليك النشور
positive,احسنت كلام دقيق جد
positive,الاولى من تغيير العالم تغيير النفس التى بداخلنا
positive,كلام جى فى وقته 
positive,﻿أن الله لا يتخل عن عباده أبدا
negative,﻿ اموت فيج رويده
positive,﻿اللهم زينا بالخلق الحسن و ارزقنا الامانة و نظافة القلب و اللسان امين
positive,﻿صبحك الله بالخير
positive,ربنا أصلح أحوالنا
negative,يلعن ابوك 
negative,﻿ لازم اخر ما توصل اليه العقل البشري من غباء اخوكم حمزة اللهواني من الاردن
negative, سوريا تعرضت لمؤامرة والامر المحزن ان ولاد سوريا انزلقو فالمؤامرة هاذي والشنيعة
positive,البسمه سر من اسرار الحياة
negative,﻿ليش الطلاب فاضين يعملو مشاكل فاضين للدراسه يعني ما عندهم وقت فراغ للمشاكل
positive,الحب بين الزوجين أوسع أبواب السعادة
positive,النية دايما بتكون موجودة وربنا المعين
negative,وهاد اللي بخبص حكي ملوش معنا ابن مين هاد
positive,يا الله كلامك بلسم
negative,الله يسامحك حبيبتي افهمتيني غلط
positive,يارب توب علينا وساعدنا نتوب وبصرنا بعيوبنا لان ساعات كتير بننسه
negative,هيك بدهم الخونه اتباع ايران (الاخوان المفسدون).
negative,﻿يا عالم النواوي خطير ( بحرق الاخضر و اليابس ) غلطة واحده كارثه
positive,امين
positive,﻿لا وحده مع القران هو انيسي ام الغرام فلا احتاجه مطلقا
negative, أأأأأه لو لا القرآن لقلت (إن أنكر الأصوات لهذه الأصوات)
negative, وهاي المضروبه جايخه على وين
negative,انتة والمعك كلهم سافلين ووقحين
positive,لا يغير الله ما بقوم حتى يغيروا ما بانفسهم
positive,صباح الفل 
positive,صلآة آلفجر 
negative,في خطبه وحده رفض شيخ إخواني النووي الاردني ، و مدح النووي الايراني
negative,كلهم فاجرين
positive,يارب اجعلنى من الصالحين
positive,ربنا يقوي ايمانك
negative, هاد برنامج وسوبر ستار بنامج شوف البريطان شو بعملو فعلن سوبر الهبل
positive,﻿و الله بذل نفسي مرة و اتنين و خمسين عشان الغرام الحلال احلى لكن مين يحس و يفهم و يقدر
positive,﻿و الله ثقف نفسك ده بيقول كلام زى الفل
negative,﻿المفاعل النووي سيحتاج لشريك استراتيجي يمتلكه او جزء كبير منه و ستدفع الحكومة الأردنية ثمن الكهرباء لهذا المستثمر لذلك يوجد احتمال كبير ان ترتفع هذه الفاتورة
positive,﻿اللهم اكثر من امثالك يا دكتور عمرو و الله نفسنا تشرفنا فى مسجد الصديق بشرتون هليوبوليس
negative, برنامج ساقط
positive,﻿يا رب فرج
positive,المواساة والمحبة بكل الامور رمز الاخوة 
negative, والله تحشيش من الاخر
positive,نعم
positive,﻿اللهم ارزقنا كما ترزق البغاث تسلميلي هنوده حلوه كثير الله يفتح عليكي و يهدينا و اياكي
positive,العفو
positive,يا ارحم الراحمين يا الله
positive,ان الله على كل شيء قدير
negative,لا للمفاعل النووي
positive,من يتقي الله يجعل له مخرجا
negative,يعني لو عايزين يبعوه بلغوني من القرف هاض يع يع يع 
positive,يارب ثبتنا بعد اخذ القرار لان هو ده الاهم و الاصعب
positive,سأبقى رائعا معك إلى النهاية إن بقيتي رائعة معي إلى النهاية
negative,حيوان
positive,﻿و نرجو لك دوام الخير و المحبة من الله و من الناس
positive,الله لا يحرم حدا من العائلة الدافية والذرية الصالحة
negative, كس امكم يالعرب يابهايم يابقايا حضارات الامم
positive,﻿ابتسم و هدي اعصابك
positive,اللهم اجعلني من يتشرف به الاسلام
positive,اللهم انصر الإسلام وأعز المسلمين
negative, انا لاحظت بلبنانيين انهم ماعندهم روح الكوميديا نهائيا 
negative,﻿لوين ندكم توصلونا و الله هموم المصاريف قتلت الصغير قبل الكبير الله ياخذ حقنا منكم و لا يباركلكم
positive,﻿وماذا عن التفاؤل في يوم ربيعي جميل نحقق به الامال الطوال
negative,  فضحتونا من وين نحنا بال48 عنا برامج هيك تافها ومخمجي
positive,يا حلالي ويا مالي ايوش هييييييييك لازم من زمان
positive,اللهم زيد المسلمين وبارك فيهم
positive,سننتصر على اعدائنا
negative, ضيعت 7 دقايق من عمري بمشاهدة ازنخ و اتفه شخص بالحياة الا و هو اللي بالنص و لا حتى بعرف اسمه
positive,ممكن يكون احسن بالاخلاص
positive,والله اني لاحس بالشفقة علابنات الجامعات 
positive,حلوه اوى
positive,صباحكـ نقاء يشبه سريرتك 
negative, أسوأ شعب الله في الكوميديا
positive,﻿اللهم أعني على ذكرك و شكرك و حسن عبادتك
negative, سخافه بكل ماتحوي الكلمه من معنى
negative,﻿ يلعن ام الحاله ياخي وناسه
negative, في ايه يا ولاد الوثخة؟
positive,الهم اجعلنا اخوة في الله واحشرنا مع الصديقين والشهداء والصالحين 
negative,ا عيني ع الصحبة بس اكيد وراها مصلحة
negative,فظيعين﻿
negative,فعلا الطاقة الشمسية هي البديل وليست النووية لان حتى الدول المتقدمة صارت تتخلص من النووي وتتجة للطاقة البديلة وخصوصا احنا الاردن بلد مشمس عالطول السنة والكلفة ما اتوقع اكثر من الطاقة النووية
negative, عااااااااهاااااات
positive,اكيد طبعا
positive,﻿و ما من دابة في الأرض و لا طائر يطير بجناحيه الأ على الله رزقه
negative, مساكين ها البشر 
negative, لانهم يمكن يكونو قاهرينك 
negative,﻿ عاهاتك ياعرب
negative,هههههههههههههههههههههههههههههه ... لا نووي ولا صوبة بواري ... كالعاده نصبه جديده
positive,الله و اخترت اسم غالى على قلبى قوى ربنا يثبتك على دين الاسلام اخترت صح بجد
negative,لإنه النووي ضرره علينا اكتر بكتير من فوائده 
positive,لاتنساني من دعائك الصالح شيخنا..
positive,الله اكبر والعزه للسلام
negative,ابوهااا هوه﻿ المصيبة..... بسس هممه الفلووس اللي تجيبهااا بنته
negative, ياخي برنامج السامج
positive,للهم اعنا على ادراك هذا المعنى العظيم يا رب 
positive,اعملوا لآخرتكم 
positive,نعم فى البدايه كلهم اروع من الروعة
positive,ربنايحفظك ياشيخ
negative,﻿الله يرفعهم الى جهنم جنب القذافي بأسرع وقت لان الظلم زاد عن حده
negative, باللـــه عليكم. ألم تستحيوا من انفسكم قبل قدومكم الى هذا البرنامج. ثم الم تعلموا ان هناك مسابقات لانكر الاصوات في قناة اخرى
positive,تحيه لأهل فلسطين الغاليه
negative, هذا تشهير ملعون والدين المفروض ما يعرضونه
negative,﻿ واي ناس فاظيين صج عاااهاات!!
positive,بتقول كلام دي الفل
negative,عيب يغني ده السادات ! وده ابن مره 
positive,تمام
negative,انا بكرهك 
positive,لطيف
positive,﻿صباح الخير و الاشراق و الامل 
negative, عاهات العرب الجرب
positive,هو رحيم بكل شىء في الكون هو الخالق فلابد ان يرزق مخلوقاته
negative,تسلم صرمايتك
negative, اللي غنى عدوله محاولة استخفاف دم من البرنامج 
positive,ما في احلى من الفرح 
negative,شو بدو بهالشوفه ؟؟؟؟؟؟؟؟؟؟؟
negative, حسبي الله ونعم الوكيل فيكم..
negative, الله اكبر شو هيدا اكل الرجال
positive,يا مسهـــــــــــــــــــــل يا رب 
negative,انت واحد ما بتستا هل الجزمة
positive,لا تقنتوا من رحمه الله فهي وسعت كل شيء مهما عصينا فلنا رب كبير رحيم ورحمن
positive,أجمل شيء مخافة الله تعالى
positive,رائع
negative,الوان مش حلوة
negative, يعني هيك برامج بتبين للناس وين صرنا و كم صارت نسبة التخلف بين شباب امتنا
positive,ستجد مساعدة الله وعونه لك عندما تكن النية صادقة
negative,﻿لا دة ذكاء 
positive,صباح السعادة العامرة
negative,﻿أوروبا كلها تريد التخلص من النووي و تحاول استثمار الطاقه الشمسية و ما عندهم شمس قد ربعنا و احنا بدنا نأخذ الي راحت موضته وولى زمانه من كثر إخلاص القائمين على مصلحة الوطن يا حسره
negative,يلعن امك 
positive,اللهم ثبتنا بالقول الثابت في الحياة الدنيا وفي الاخرة
positive,ونعم بالله من أختار قرب الله فما خاب ابدآآآآ الله على دى راحه وده شعور الحمد لل
positive,ربنا اجعلنا من الصالحين و اهدنا الي الريق المستقيم
negative, عاهات
negative, وسبب برفعة ضغطك 
positive,عن جد انتى ما شاء الله عليكى جزاكى الله كل خير
negative,مش باين منيح ليش عم تكذبو
positive,أسأل الله أن يرزقني من يدعو لي في ظهر الغيب 
positive,يا رب كن لي وكيل
positive,رضيت بالله ربا وبالاسلام دينا وبمحمد صلى الله عليه وسلم نبيا ورسولا
positive,انا فعلا عملت كده والحمدلله بقيت احسن من غير الحجات الي ربنا خدها مني الحمدلله
positive,صباحك نور
positive,﻿الحمد لله رب العالمين على عطاه و رضا
negative, يعني يجبون كم واحد يعطونهم فلوس ويجون يستهبلوا عندهم عشان يحركون البرنامج
negative, بقطعكم شو حقودييين
positive,الحب الحقيقي عملة نادرة فعلاً وهو نعمة كبيرة من الله عزوجل
negative,﻿ بكتب ع اوراق الشجر يقول موهبتي وانا صغير الله يسامح اللي كاذب عليه
positive,تحياتي ياشيخ
positive,﻿بلا هم و بلا وجع راس خليك رايق دايما
positive,﻿ابتسم بنيه طيبه و فقط
negative, والله حرام يعني مايدرون انهم مصخره
positive,حبل الجذب اكصي
